,id,pred_caption
0,600,startseq a exit sign in an window door seen on the water sign july shanghai endseq
1,601,startseq a sign on a exit at the exit endseq
2,602,startseq a painted sign on the window of the building in roro's lot endseq
3,603,startseq a right under a side of the road on the huge sign shop on the back page endseq
4,604,startseq this sign headquarters me written in tippex not not mainland mainland endseq
5,605,startseq signboard 2009 exit sign in the doors endseq
6,606,startseq a sign on the window of the little walk in the street endseq
7,607,startseq the sign in the flower of the only trying to your station to the australia endseq
8,608,startseq a exit sign in the exit endseq
9,609,startseq the exit in the bathroom of bathroom on the exit sign is this is is is it endseq
10,610,startseq a sign at the window of the exit window endseq
11,611,startseq this sign should all all behind east springfield springfield ohio in south illinois endseq
12,612,startseq a sign on the road sign in the guard gas endseq
13,613,startseq a sign on the hill at the south park in south park endseq
14,614,startseq track to a hill at the veritable pats in fact endseq
15,615,startseq a yet more detailed skiing at the attic sign in the other name on the meadow the background endseq
16,616,startseq old closely a sign in the window of the where that around the wrong it park endseq
17,617,startseq en route to the sign crossing this we i saw by the river and lake endseq
18,618,startseq a sign on the window of the little a little my apartment endseq
19,619,startseq view of the dirty towers along the west from route from the scree endseq
20,620,startseq old sweaters the driven sign in the dog shop on the yellow on the green hinterland endseq
21,621,startseq a yet more detailed skiing at the attic sign in the other name on the meadow the background endseq
22,622,startseq a sign on the door door to the pump exit to the station at the station at the station endseq
23,623,startseq view of the clouds of the water 66 under the water spans the water tracks in the island endseq
24,624,startseq the flag in the door of the exit sign endseq
25,625,startseq en route to the hill of an blue passage following the highway of route 66 endseq
26,626,startseq this sign should laugh street sign in washington heights think street endseq
27,627,startseq you can christology is a sign above the hole in the wall says 6 endseq
28,628,startseq this playing this around kitchen above the display of hardy people on the monorail on the monorail endseq
29,629,startseq a route is a side of the road around the water sign in california endseq
30,630,startseq view from the sign blocked by the water sky in elderslie endseq
31,631,startseq a sign on a street for a street sign in the sign endseq
32,632,startseq a yet more detailed skiing at the attic sign in the other name on the meadow the background endseq
33,633,startseq alas on the sign at the big the corner in san indiana endseq
34,634,startseq a curious black bear cub enountered during the hike to the exit of route of route endseq
35,635,startseq a sign for some exit door endseq
36,636,startseq neon sign in the window of the front sign in annapurna a front endseq
37,637,startseq a sign in the window of the park of her find visible on the park endseq
38,638,startseq you can leans on a sign on the hole on the hole on the train 11 endseq
39,639,startseq the door sign in door of door in the door endseq
40,640,startseq the 71 view of the bridge of the golden horn between the highway and the highway and the highway and the exit and the exit endseq
41,641,startseq the red view of the bridge of the water passage blue route between the water and the exit and the exit and the exit endseq
42,642,startseq a yet more detailed skiing at the attic sign in the other name on the meadow the background endseq
43,643,startseq the right tells under the door door on the bathroom door to exit sign endseq
44,644,startseq a street sign in junction on loved loved loved downtown albuquerque endseq
45,645,startseq just is at the road sign in philadelphia car endseq
46,646,startseq a trail sign on the exit in tippex endseq
47,647,startseq a market in the market of tippex plant endseq
48,648,startseq made sign in the my 4th endseq
49,649,startseq you is in you roof over the train train brougham en route to things endseq
50,650,startseq a yet more detailed skiing at the attic sign in the other name on the meadow the background endseq
51,651,startseq i had on the bridge in the river of the road sign endseq
52,652,startseq a yet more detailed skiing at the attic sign in the other name on the meadow the background endseq
53,653,startseq the sign on the sky on the water of the fall walking route 66 endseq
54,654,startseq view of the side of the fog orange following route to the beach of the rains endseq
55,655,startseq the view of the bridge over the golden horn and new island and the island and the island and the island and the island and the island
56,656,startseq this sign in afton kitchen endseq
57,657,startseq a can cavalry sign on the hill in the golden horn endseq
58,658,startseq this is old is in the water somewhere of train thames amp quot amp quot amp quot amp quot amp quot amp quot quot quot quot quot
59,659,startseq the red 66 sign with the street for the hill and fact endseq
60,660,startseq the can can girl from the very door on the hole door in the wall door endseq
61,661,startseq a sign on the sign forts the where to the garden in south devon endseq
62,662,startseq the right quite but a side of a bathroom door on the bathroom on exit sign endseq
